month,revenue,orders
2016-09,267.36,3
2016-10,49507.66,308
2016-12,10.9,1
2017-01,120312.87,789
2017-02,247303.02,1733
2017-03,374344.3,2641
2017-04,359927.23,2391
2017-05,506071.14,3660
2017-06,433038.6,3217
2017-07,498031.48,3969
2017-08,573971.68,4293
2017-09,624401.6900000001,4243
2017-10,664219.43,4568
2017-11,1010271.37,7451
2017-12,743914.17,5624
2018-01,950030.36,7220
2018-02,844178.71,6694
2018-03,983213.4400000001,7188
2018-04,996647.75,6934
2018-05,996517.68,6853
2018-06,865124.31,6160
2018-07,895507.22,6273
2018-08,854686.33,6452
2018-09,145.0,1
